id,rent,address,educationIndex
17186634,460.0,"28 Greenmont Road WYNDHAM VALE,VIC 3024",3.1863754856879525
17186335,630.0,"65 Bridlington Avenue ECHUCA,VIC 3564",3.5657019001051555
17183916,595.0,"37 Cleveland Drive HOPPERS CROSSING,VIC 3029",3.4408514621892023
17182371,470.0,"33 Mopane Circuit WYNDHAM VALE,VIC 3024",3.538691080833172
17182174,350.0,"3 Soles Street RUTHERGLEN,VIC 3685",2.1064865834276043
16472385,675.0," DROMANA,VIC 3936",1.3284428790349774
16896217,850.0,"21 Clinton Street BRIGHTON EAST,VIC 3187",3.5688567947867504
17175515,480.0,"10 Fairway Avenue HOPPERS CROSSING,VIC 3029",3.4788873836060032
17174048,660.0,"17 Lukis Avenue WILLIAMS LANDING,VIC 3027",3.1794315352455187
17173825,475.0,"20 Ixora Crescent WYNDHAM VALE,VIC 3024",3.41995999849631
17168654,600.0,"112 High Street WINDSOR,VIC 3181",3.6440482266359275
17168305,420.0,"4 Rushton Avenue STRATHTULLOH,VIC 3338",3.3460392759533644
17167501,601.0202088452088,"2705/628 Flinders Street DOCKLANDS,VIC 3008",3.771526142397117
17166990,750.0,"10 Gillies Street MITCHAM,VIC 3132",3.56129639195305
17166756,700.0," BALWYN,VIC 3103",3.9578809700337088
16485484,550.0,"7 Mountain Ash Drive KORUMBURRA,VIC 3950",2.079922577156529
17166519,450.0,"44 Dianne Avenue CRAIGIEBURN,VIC 3064",3.384587939362589
17164165,530.0,"3 St. Andrews Drive WERRIBEE,VIC 3030",3.4255649017724816
17163619,1200.0,"5 Hammond Street BRIGHTON,VIC 3186",3.735743708434552
17162333,450.0,"9 Cobby Street LAVERTON,VIC 3028",3.340044108887886
17161530,545.0,"16 Thea Close WYNDHAM VALE,VIC 3024",3.3943700008661297
17159875,570.0,"49 Penver Drive COBBLEBANK,VIC 3338",3.3693730516317726
17156266,490.0,"7 Seal St ARMSTRONG CREEK,VIC 3217",3.07258613222177
16366825,550.0,"9 Rider Court TARNEIT,VIC 3029",3.5585623036794027
15487593,460.0,"16 Thornbill Drive WERRIBEE,VIC 3030",3.4156125729864915
17151547,535.0,"44 Stambridge St TARNEIT,VIC 3029",3.5308114722489217
17145514,490.0,"21 Yarrabee Drive HOPPERS CROSSING,VIC 3029",3.4926141450970905
17141048,450.0,"157 Lightwood Cres MEADOW HEIGHTS,VIC 3048",3.2512875997698814
15601597,510.0,"2 Sue Street WYNDHAM VALE,VIC 3024",3.456391598393439
16146836,440.0,"3 Kipling Place DELAHEY,VIC 3037",3.437979870314023
17124142,785.0,"84 Melissa Street DONVALE,VIC 3111",3.484790048522268
17116634,465.0,"11 Trondheim Street ROCKBANK,VIC 3335",2.4283486839834034
16022297,850.0,"36 Parkstone Avenue PASCOE VALE SOUTH,VIC 3044",3.5188073501293795
17113751,510.0,"47 Vogue Drive WYNDHAM VALE,VIC 3024",3.4707549978600776
17113726,510.0,"16 Pristine Drive WYNDHAM VALE,VIC 3024",3.4182387300126247
16008364,595.0,"1/2 Hawthorn Street YARRAVILLE,VIC 3013",3.5412639473086136
17101416,450.0,"17 Mclean Street THORNHILL PARK,VIC 3335",2.645597330947062
15082212,675.0,"5 Casablanca Court TRUGANINA,VIC 3029",3.437981584852702
17077713,840.0,"6 Midlothian St MALVERN EAST,VIC 3145",3.5803317761630424
16250907,601.0202088452088,"10-12 Pietro Road HEATHERTON,VIC 3202",3.2765172929070645
17061451,601.0202088452088,"58 Bay Street BRIGHTON,VIC 3186",3.738650161926849
16170376,601.0202088452088," BEVERIDGE,VIC 3753",1.2564797930917764
16170225,601.0202088452088," HUNTLY,VIC 3551",1.8201549988803962
16170223,601.0202088452088," STRATHFIELDSAYE,VIC 3551",2.992717800204987
16170219,601.0202088452088," SOUTH GEELONG,VIC 3220",3.5690919737010414
16170136,601.0202088452088," DELACOMBE,VIC 3356",3.523723632888677
15417387,601.0202088452088," TRUGANINA,VIC 3029",3.3612522212087868
15186011,601.0202088452088," BALLARAT CENTRAL,VIC 3350",3.607328536841366
15186010,601.0202088452088," GOLDEN POINT,VIC 3465",3.4260842645817426
15185910,601.0202088452088," THORNHILL PARK,VIC 3335",2.830922954790159
14981307,601.0202088452088," THORNHILL PARK,VIC 3335",2.8201630548608474
14984878,601.0202088452088," THORNHILL PARK,VIC 3335",2.8255027566110926
14984880,601.0202088452088," THORNHILL PARK,VIC 3335",2.829786991628646
14979100,601.0202088452088," ROCKBANK,VIC 3335",3.395228479545492
14987046,601.0202088452088," SOLDIERS HILL,VIC 3350",3.532308838621933
14997360,601.0202088452088," TARNEIT,VIC 3029",3.4486156103035506
14979077,601.0202088452088," MELTON,VIC 3337",1.2358831428310944
15128193,601.0202088452088," WALLAN,VIC 3756",2.045021739362503
15067313,601.0202088452088," MICKLEHAM,VIC 3064",3.5249978897505687
14987610,601.0202088452088," TRUGANINA,VIC 3029",3.3527869170930797
13368532,601.0202088452088," MELTON SOUTH,VIC 3338",3.6178522183349395
13354002,601.0202088452088," BENDIGO,VIC 3550",3.4909363949708436
