,id,rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,land,under 20,20-39,40-59,60+,Owner,Renter,Family,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_3,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_8,doc2vec_embedding_9,doc2vec_embedding_10,educationIndex,transportIndex,lifeIndex
3568,17196436,525.0,634.0960359228575,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,3,87,8,3,28,72,26,74,0.8695531622713897,0.31278682,-0.44747937,-1.8488259,-0.18666473,-0.2131792,-0.0265446,0.45865846,-0.22619429,-0.25842193,0.3048824,3.801571483142735,4.275031718277948,3.326214446643294
3569,17196386,620.0,685.0360898472708,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,9,70,17,3,39,61,42,58,1.8730473622582955,-0.023682535,0.5667065,0.8401424,-0.28503284,0.4956932,-0.38987467,0.28748605,0.34532252,-0.27252448,0.26683223,3.935440642681083,3.2584081160935967,3.43495365673933
3570,17196337,400.0,631.6900261056511,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,29,27,21,23,45,55,50,50,0.432956991066488,-0.53725857,-0.20466566,-0.6026718,0.10757643,-0.29802218,0.3048847,0.8894758,-0.52761906,-0.21086395,1.0540311,3.5283289399731195,3.269482798413068,3.4332293397872573
3571,17196251,400.0,625.1739130434783,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,5,44,22,28,25,75,37,63,0.9446979737248392,0.17537773,0.56146604,0.32708818,-0.2970728,1.2584172,-0.8916273,1.120868,1.1891406,0.023828357,-0.23218408,3.798669364691557,4.704215138360273,3.5421060202616794
3572,17196208,601.0202088452088,685.0360898472708,3.0,2.0,2.0,1,0,0,0,0,0,0,0,615.710027100271,6,78,14,2,23,77,35,65,1.9805740979874804,-0.20258796,-0.3351699,0.4133727,0.57204807,1.1242052,-0.8077604,0.71955025,-0.01813063,0.039994538,0.91805166,3.923835995592889,3.284305801564426,3.4332659358754554
3573,17196034,700.0,634.0960359228575,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,4,88,5,2,30,70,14,86,1.953076426888323,-0.46009487,0.07303345,0.81379384,-0.175998,0.75686747,-0.6320319,-0.11541548,-0.76443285,0.042621464,-0.041883722,3.829566257528324,4.523115938751565,3.5038655945169066
3574,16638692,525.0,634.0960359228575,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,9,64,20,7,31,69,34,66,4.761668752483076,-0.069390714,0.29540205,-0.0698486,0.07436602,-0.2850083,-0.30557427,-0.06824753,0.3012286,-0.25433996,-0.6385718,3.716669614796253,3.80794450689794,3.6829909551231523
3575,17195581,630.0,634.0960359228575,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,4,85,8,3,29,71,16,84,2.2721449214629086,-0.77361435,0.19234443,-0.48761818,-0.0016136765,0.19363801,-0.3856997,0.5895333,-0.7734399,0.089319736,0.3233344,3.797001460945238,4.657803031307577,3.4805752614825245
3576,11020455,305.0,627.7681073239584,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,8,64,19,8,27,73,41,59,0.8729663866282908,1.0438435,-0.563046,-0.24355847,-0.6410346,-0.21705732,-0.05337715,-0.22870514,0.16915202,0.29219067,0.1255679,3.787456080420589,3.79606724837107,3.172388872842255
3577,17195068,900.0,634.0960359228575,2.0,2.0,2.0,1,0,0,0,0,0,0,0,615.710027100271,3,89,6,2,22,78,16,84,1.8346923723830075,0.6548674,-0.5505476,0.4769165,0.9293654,0.5591282,-0.575245,0.07987413,-0.5224025,-0.30354655,0.14613776,3.7805349907525994,3.8178401443301566,3.7522821957515657
3578,17194832,750.0,685.0360898472708,2.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,6,69,20,4,30,70,43,57,2.109133644391645,-0.6541519,1.3151869,0.10241324,-0.93367827,0.4282419,0.14432445,0.12282564,-0.24906036,-0.38186157,0.15190037,3.948089960949469,3.280565771290865,3.43271556095023
3579,17194311,630.0,626.5660960367483,2.0,2.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,17,45,27,10,44,56,52,48,6.496491136432856,0.88987374,1.0590179,0.09593105,-0.35522315,0.15343364,-0.4251244,-0.12707257,0.010402888,-1.2566066,0.6956672,3.6665127774018496,3.820952354072392,3.571456499951136
3580,17194242,930.0,634.0960359228575,2.0,2.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,6,78,14,3,20,80,34,66,1.9555844848354564,-0.5715467,0.17965806,0.72513765,-0.4700667,-0.8566688,0.07142073,0.84351766,-0.56833696,-0.0076363683,0.69010466,3.7821058469346513,3.2919532211467746,3.432409650028507
3581,17194221,900.0,541.4560458072834,2.0,2.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,2,93,5,1,23,77,20,80,1.464219024209834,-0.37949747,0.107830286,0.4291069,1.0075159,0.03909692,-1.2826393,0.871618,-0.41405055,-0.30231068,0.18069132,3.735759474796677,3.2954052148391915,3.4317023309156918
3582,12582068,380.0,543.9619270931771,1.0,1.0,1.0,1,0,0,0,0,0,0,0,615.710027100271,8,77,12,3,17,83,32,68,0.9244384212410997,0.8679185,-0.11714041,0.37990648,0.07764843,0.11380334,0.092204064,0.5367429,-0.79153746,0.20404094,-0.16962406,3.754184380667204,3.291142673275256,3.4343666857259065
