rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,under 20,20-39,40-59,60+,Owner,Renter,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_9,educationIndex,transportIndex,lifeIndex
510.0,551.2962962962963,3.0,2.0,1.0,0,0,0,1,0,0,0,0,28,39,24,9,59,41,38,1.3063865229496172,-0.25887245,-0.15699816,-0.31010076,0.2032562,0.6361737,0.16163175,-0.16067532,3.313230694596638,2.9255546617669026,3.592538091936008
540.0,575.6818181818181,2.0,1.0,3.0,0,0,0,1,0,0,0,0,27,29,24,20,67,33,48,2.412287876921976,-1.1496501,-0.054213166,0.42679596,0.00016233325,0.31276438,-0.32317623,-0.8980789,3.6035369014321175,2.774888814018597,3.2813509511937955
520.0,572.1428571428571,3.0,2.0,2.0,0,0,0,1,0,0,0,0,24,24,31,21,74,26,37,1.872296231593601,0.63279235,-0.393512,-0.016232371,-0.52540183,0.0058353245,0.24635237,0.14342564,3.4457616499020696,2.8294262793781098,3.5073891967909674
500.0,504.3585863460863,4.0,2.0,2.0,0,0,0,1,0,0,0,0,30,37,25,8,82,18,33,1.7905706249607476,0.5842873,-0.69364727,0.0970756,0.35446203,0.5028442,-0.43024686,0.37697178,2.0299875521208115,2.87736505893242,3.5750858440943976
530.0,481.95238095238096,4.0,2.0,5.0,0,0,0,1,0,0,0,0,32,30,23,15,62,38,42,3.027533569290444,0.75305414,0.280329,0.37301004,1.0975451,-0.19396564,0.9119915,-0.25315884,3.381433502285528,2.8341786390302133,3.199976189135475
460.0,481.95238095238096,4.0,2.0,2.0,0,0,0,1,0,0,0,0,34,34,24,8,72,28,39,2.1489441553558164,0.46748722,0.21180701,0.25115982,-0.22028394,0.22910538,-0.5036789,-0.11685246,3.1474517205717696,3.27184176700322,3.4330332171301285
175.0,633.568013923014,5.0,3.0,3.0,0,0,0,1,0,0,0,0,26,35,26,12,54,46,47,1.6913340530911642,0.47285724,0.27071953,0.26524052,0.7060752,0.58980846,0.38817015,-0.059771314,3.954389984542244,4.716651002006298,3.6378664975966473
510.0,529.6116724679225,3.0,2.0,1.0,0,0,0,1,0,0,0,0,19,25,23,33,79,21,37,1.8360420270467608,-0.2976156,-0.054237247,-0.62465215,-0.3706001,-1.1176445,-0.0026926696,0.6459252,3.1042460070312288,2.691663575865208,3.0643879832730674
500.0,469.26422151816894,4.0,2.0,2.0,0,0,0,1,0,0,0,0,30,38,23,9,86,14,34,1.4062907305638488,-0.37204838,-0.36132598,0.35697067,0.13201575,0.19391593,0.16863567,0.038188815,3.289164239148902,2.762855029052608,2.7115532269012985
410.0,410.0,3.0,1.0,1.0,0,0,0,1,0,0,0,0,31,29,23,18,73,27,45,0.1553337336399029,0.48795092,-0.7272302,0.023409456,0.015570298,0.27951565,-0.038301826,0.02914995,1.2290562287858513,2.77530018937425,3.29266824327795
